id_produk,barcode,nama_produk,jenis,merk,varian,berat,satuan,harga_beli,harga_jual,status,Jumlah,expired_date
1,P1-MR-LMN-25,Pasir Kucing,Bentonite,Markotops,Lemon,25,L,120000,140000,available,2,NULL
2,P1-MR-APL-25,Pasir Kucing,Bentonite,Markotops,Apel,25,L,120000,140000,available,2,NULL
3,P1-MR-LAV-25,Pasir Kucing,Bentonite,Markotops,Lavender,25,L,120000,140000,available,1,NULL
4,P1-MR-KP-25,Pasir Kucing,Bentonite,Markotops,Kopi,25,L,120000,140000,sold out,0,NULL
5,P1-ANC-LMN-25,Pasir Kucing,Bentonite,Animal&Co,Lemon,25,L,100000,115000,available,1,NULL
6,P1-ANC-APL-25,Pasir Kucing,Bentonite,Animal&Co,apel,25,L,100000,115000,sold out,0,NULL
7,P1-ANC-LAV-25,Pasir Kucing,Bentonite,Animal&Co,Lavender,25,L,100000,115000,available,2,NULL
8,P1-ANC-KP-25,Pasir Kucing,Bentonite,Animal&Co,Kopi,25,L,100000,115000,available,1,NULL
9,P1-ANC-GT-25,Pasir Kucing,Bentonite,Animal&Co,Greentea,25,L,100000,115000,available,2,NULL
10,P1-PS-LMN-25,Pasir Kucing,Bentonite,Pawsitive,Lemon,25,L,125000,135000,available,2,NULL
11,P1-PS-LAV-25,Pasir Kucing,Bentonite,Pawsitive,Lavender,25,L,125000,135000,available,1,NULL
12,P1-PS-APL-25,Pasir Kucing,Bentonite,Pawsitive,Apel,25,L,125000,135000,available,1,NULL
13,P1-PS-KP-25,Pasir Kucing,Bentonite,Pawsitive,Kopi,25,L,125000,135000,sold out,0,NULL
14,P1-MR-LMN-10,Pasir Kucing,Bentonite,Markotops,Lemon,10,L,60000,70000,available,1,NULL
15,P1-MR-APL-10,Pasir Kucing,Bentonite,Markotops,Apel,10,L,60000,70000,sold out,0,NULL
16,P1-MR-LAV-10,Pasir Kucing,Bentonite,Markotops,Lavender,10,L,60000,70000,available,1,NULL
17,P1-MR-KP-10,Pasir Kucing,Bentonite,Markotops,Kopi,10,L,60000,70000,sold out,0,NULL
18,P1-MR-BP-10,Pasir Kucing,Bentonite,Markotop,Baby powder,10,L,60000,70000,available,3,NULL
19,P1-ANC-LMN-10,Pasir Kucing,Bentonite,Animal&Co,Lemon,10,L,60000,70000,available,3,NULL
20,P1-ANC-APL-10,Pasir Kucing,Bentonite,Animal&Co,apel,10,L,60000,70000,sold out,0,NULL
21,P1-ANC-LAV-10,Pasir Kucing,Bentonite,Animal&Co,Lavender,10,L,60000,70000,available,2,NULL
22,P1-ANC-KP-10,Pasir Kucing,Bentonite,Animal&Co,Kopi,10,L,60000,70000,available,3,NULL
23,P1-ANC-GT-10,Pasir Kucing,Bentonite,Animal&Co,Greentea,10,L,60000,70000,available,3,NULL
24,P1-PS-LMN-10,Pasir Kucing,Bentonite,Pawsitive,Lemon,10,L,58000,68000,available,1,NULL
25,P1-PS-LAV-10,Pasir Kucing,Bentonite,Pawsitive,Lavender,10,L,58000,68000,sold out,0,NULL
26,P1-PS-APL-10,Pasir Kucing,Bentonite,Pawsitive,Apel,10,L,58000,68000,available,1,NULL
27,P1-PS-KP-10,Pasir Kucing,Bentonite,Pawsitive,Kopi,10,L,58000,68000,sold out,0,NULL
28,P1-PR-LMN-10,Pasir Kucing,Bentonite,Pursona,Lemon,10,L,48000,58000,available,7,NULL
29,P1-PR-LAV-10,Pasir Kucing,Bentonite,Pursona,Lavender,10,L,48000,58000,available,5,NULL
30,P1-PR-APL-10,Pasir Kucing,Bentonite,Pursona,Apel,10,L,48000,58000,sold out,0,NULL
31,P1-PR-KP-10,Pasir Kucing,Bentonite,Pursona,Kopi,10,L,48000,58000,available,4,NULL
32,P1-GMY-LMN-10,Pasir Kucing,Bentonite,Gemoy,Lemon,10,L,50000,55000,available,3,NULL
33,P1-GMY-LAV-10,Pasir Kucing,Bentonite,Gemoy,Lavender,10,L,50000,55000,available,1,NULL
34,P1-GMY-VNL-10,Pasir Kucing,Bentonite,Gemoy,vanila,10,L,50000,55000,available,2,NULL
